Устройство,Результат перехвата,Время атаки (мс)
TSC-001,ДАННЫЕ ЗАЩИЩЕНЫ,0.01378
TSC-002,ДАННЫЕ ЗАЩИЩЕНЫ,0.00221
TAB-101,ДАННЫЕ ЗАЩИЩЕНЫ,0.00202
TAB-102,ДАННЫЕ ЗАЩИЩЕНЫ,0.00193
TSC-001,ДАННЫЕ ЗАЩИЩЕНЫ,0.00184
TAB-101,ДАННЫЕ ЗАЩИЩЕНЫ,0.00187
